episode,reward,loss,frequency,sigma
55,6.694518566131592,100.3131103515625,0.675,83.09430406911224
56,4.501719951629639,92.3009033203125,0.7,41.083296848785665
57,3.431185245513916,101.92430114746094,0.675,49.59839112106032
58,7.2622551918029785,89.26544952392578,0.675,80.80982397138885
59,7.10495138168335,99.12744140625,0.675,65.74853657335665
60,10.900150299072266,87.41587829589844,0.7,77.93225027010129
61,3.4509456157684326,75.12583923339844,0.675,59.95234211347563
62,5.6972246170043945,75.8486557006836,0.675,61.57155579232339
63,5.554516315460205,74.9520492553711,0.7,71.33845256663082
64,4.9410552978515625,83.68912506103516,0.675,56.59447885168902
65,5.248641014099121,76.55147552490234,0.7,57.00473242468868
66,4.282045364379883,72.49755096435547,0.675,69.08158238261747
67,5.523516654968262,67.84483337402344,0.675,63.397536797255206
68,3.913947582244873,62.82398986816406,0.675,51.15062324295458
69,6.30012321472168,56.656150817871094,0.675,71.41265471876586
70,4.801514625549316,73.24718475341797,0.7,37.21084593958038
71,4.643754959106445,61.04293441772461,0.675,39.40987162450449
72,7.950950622558594,59.093475341796875,0.7,83.8622967760867
73,6.2088847160339355,58.65982437133789,0.7,77.71709438669744
74,13.311161994934082,50.01734161376953,0.675,105.42983643129763
75,3.8542320728302,62.56447219848633,0.675,83.15013408402562
76,3.889335870742798,45.9826774597168,0.675,76.18468855342533
77,6.779285430908203,46.41964340209961,0.675,87.70109300540835
78,4.5301618576049805,64.40977478027344,0.75,24.769282593528338
79,5.269256591796875,52.62510681152344,0.675,64.08652576326094
80,4.225954055786133,52.21859359741211,0.675,56.12248131460154
81,5.290137767791748,40.72960662841797,0.675,42.597943129365866
82,6.115608215332031,40.75323486328125,0.675,39.62323558913562
83,12.127769470214844,34.55038833618164,0.675,86.99842175947094
84,4.918017387390137,33.14198684692383,0.65,38.01139897915191
85,4.54170560836792,44.65406799316406,0.7,59.95455540613026
86,5.929986000061035,29.119970321655273,0.675,75.38124680038813
87,5.761904716491699,42.80206298828125,0.675,88.45919541147022
88,4.0663981437683105,28.096542358398438,0.675,26.769806216095436
89,2.413363456726074,29.55881690979004,0.675,86.41339871046587
90,4.427598476409912,35.5193977355957,0.675,90.53668089837625
91,5.565080165863037,27.246543884277344,0.675,61.25086251838032
92,3.6478281021118164,35.63216018676758,0.7,39.86079134947632
93,5.404886245727539,34.94675827026367,0.675,68.51917838605556
94,5.7927141189575195,38.78548812866211,0.675,50.2364207739788
95,3.8301146030426025,43.333065032958984,0.675,34.32717225961154
96,6.399260997772217,32.96554183959961,0.675,68.50286478946352
97,10.122856140136719,25.721580505371094,0.675,61.3756359730306
98,4.525311470031738,26.954364776611328,0.675,75.32501186595508
99,4.881500244140625,31.834169387817383,0.675,55.57328074792279
100,7.323385715484619,33.42851257324219,0.7,70.15566694250391
101,4.4991960525512695,25.34470558166504,0.7,46.5196445937693
102,4.76226282119751,29.05042839050293,0.675,67.09262917881374
103,8.032997131347656,16.730085372924805,0.675,72.33070329519258
104,6.424391269683838,20.4050350189209,0.675,73.60667628748426
105,8.122699737548828,20.660465240478516,0.675,74.78976085444368
106,5.627917289733887,24.793020248413086,0.7,75.358582839838
107,4.218043804168701,33.876747131347656,0.7,35.09247053405276
108,5.122394561767578,28.255538940429688,0.675,77.35493490699636
109,5.803438663482666,28.422616958618164,0.7,37.62548566534171
110,9.080339431762695,19.19373893737793,0.675,56.21182024784657
111,3.8362247943878174,28.8643856048584,0.7,33.41350857109486
112,3.873094320297241,19.575031280517578,0.675,46.89976215368862
113,5.731871604919434,20.388423919677734,0.675,57.060376269434954
114,4.802278995513916,17.303861618041992,0.7,43.17870846398854
115,4.6963300704956055,28.87613296508789,0.675,85.73585518019765
116,5.705927848815918,16.049951553344727,0.7,66.33495840101818
117,4.159667491912842,23.727922439575195,0.675,54.126229468719785
118,7.333235740661621,14.700862884521484,0.675,72.32599621640273
119,2.759166717529297,12.952926635742188,0.675,76.17056447426305
120,4.782715797424316,20.513113021850586,0.7,50.62605233297552
121,4.5146660804748535,14.48763370513916,0.675,79.40459286045522
122,5.368035316467285,14.073822021484375,0.675,76.67682482920888
123,6.614096641540527,27.431076049804688,0.675,68.81401636422021
124,3.8524813652038574,9.904406547546387,0.675,77.5694633219705
