episode,reward,loss,frequency,sigma
223,0.32522472739219666,-199.19961547851562,0.0,35.0067645579945
224,0.6884698867797852,-158.9437255859375,0.775,33.531161042499136
225,1.9364904165267944,-155.07171630859375,0.0,38.05078217662684
226,1.3096797466278076,-188.5503387451172,0.775,37.6020714566136
227,-0.44143661856651306,-159.11695861816406,0.0,40.36826786599379
228,-0.8708502054214478,-191.49148559570312,0.8,35.46942331686068
229,0.34331652522087097,-161.97434997558594,0.0,38.01011999233836
230,-0.0009560585021972656,-141.92576599121094,0.0,37.48577641356631
231,-0.4471468925476074,-172.72894287109375,0.775,52.37322093296884
232,1.8453764915466309,-117.67452239990234,0.8,36.90304604927264
233,2.0198898315429688,-156.36329650878906,0.0,38.40770893633658
234,-0.29457417130470276,-144.95974731445312,0.0,39.550182708100294
235,0.29621121287345886,-143.06053161621094,0.0,40.25408906963272
236,1.7028553485870361,-134.89071655273438,0.0,32.222568129549295
237,3.1390979290008545,-128.806884765625,0.8,28.342851250715565
238,0.6080514192581177,-162.57373046875,0.0,31.31683480508766
239,1.8842170238494873,-129.55868530273438,0.775,30.865801067765688
240,0.06880587339401245,-161.99525451660156,0.0,36.05213940857717
241,1.2206063270568848,-167.90274047851562,0.775,35.14015067067352
242,0.31958162784576416,-103.74784088134766,0.775,46.934034642468916
243,0.2110387086868286,-120.6891860961914,0.0,35.902973804126916
244,2.112865447998047,-111.85934448242188,0.8,46.93533695325848
245,2.1335666179656982,-134.0873565673828,0.0,43.25086906579078
246,1.117924690246582,-99.25870513916016,0.0,35.93773162493042
247,0.6332365870475769,-162.35061645507812,0.0,33.06607757157695
248,1.3527776002883911,-128.79959106445312,0.0,32.447760693938676
249,-0.02496427297592163,-103.0483169555664,0.0,39.58071557694185
250,1.7554473876953125,-119.61647033691406,0.0,29.906257842346527
251,1.4509270191192627,-110.9237060546875,0.0,35.22208377052641
252,0.9292710423469543,-104.60183715820312,0.775,36.06443985371172
253,-0.6520211696624756,-70.18501281738281,0.775,47.41492549385066
254,2.1710665225982666,-86.54257202148438,0.0,47.76109661686101
255,3.175848960876465,-84.70198059082031,0.775,47.191524507848634
256,-1.7744598388671875,-76.75140380859375,0.775,42.98923928253871
257,0.20500987768173218,-99.983154296875,0.775,41.847353950404774
258,4.28218412399292,-73.00599670410156,0.775,60.31524615743813
259,0.19540348649024963,-105.80277252197266,0.0,40.81157422612223
260,-0.18429210782051086,-50.66005325317383,0.775,43.46280425555283
261,0.8333113789558411,-84.17543029785156,0.0,36.34246870403698
262,1.0962226390838623,-68.92819213867188,0.0,53.55541994635136
263,3.6843693256378174,-60.54779815673828,0.0,37.692211674643346
264,-0.15284571051597595,-67.1316909790039,0.0,36.25388512345235
265,0.7297595739364624,-85.28160858154297,0.0,31.279597283278918
266,3.613281011581421,-55.48951721191406,0.8,43.077378856485055
267,1.983190655708313,-55.63972854614258,0.0,31.891506395003564
268,1.9000849723815918,-17.375202178955078,0.0,38.984264354798206
269,3.6491892337799072,-66.04322052001953,0.775,42.29830324917099
270,3.4900431632995605,-48.98674011230469,0.775,49.866301106185404
271,0.22091759741306305,-74.71842956542969,0.8,38.62610341232893
